,symbol,direction,long_mode,short_mode,long_exposure,short_exposure,account
0,ALICE,long,p,m,0.03,0,binance_01
1,IOST,long,p,m,0.03,0,binance_01
2,OMG,long,p,m,0.03,0,binance_01
3,ATOM,long_short,p,gs,0.03,0.01,binance_01
4,KAVA,long_short,p,n,0.03,0.025,binance_01
5,COTI,long,p,m,0.03,0,binance_01
6,ONE,long,p,m,0.03,0,binance_01
7,NEO,long_short,p,n,0.03,0.025,binance_01
8,SXP,long,p,m,0.03,0,binance_01
9,XLM,long_short,p,n,0.03,0.025,binance_01
10,XRP,long,p,m,0.03,0,binance_01
11,RLC,long_short,p,n,0.03,0.025,binance_01
12,ALPHA,long,p,m,0.03,0,binance_01
13,LINA,long,p,m,0.03,0,binance_01
14,QTUM,long,p,m,0.03,0,binance_01
15,ALGO,long_short,p,n,0.03,0.025,binance_01
16,ENJ,long,p,m,0.03,0,binance_01
17,SFP,long,p,m,0.03,0,binance_01
18,VET,long,p,m,0.03,0,binance_01
19,REN,long,p,m,0.03,0,binance_01
20,ICX,long,p,m,0.035,0,binance_01
21,HBAR,long,p,m,0.035,0,binance_01
22,DODO,long_short,p,n,0.03,0.025,binance_01
23,DENT,long,p,m,0.035,0,binance_01
24,HOT,long,p,m,0.03,0,binance_01
25,IOTA,long,p,m,0.03,0,binance_01
26,SNX,long,p,m,0.03,0.02,binance_01
27,ANKR,long_short,p,n,0.03,0.025,binance_01
28,BEL,long_short,p,n,0.03,0.025,binance_01
29,NKN,long,p,m,0.03,0,binance_01
30,ONT,long,p,m,0.03,0,binance_01
31,REEF,long,p,m,0.03,0,binance_01
32,ZEN,long,p,m,0.03,0,binance_01
33,BLZ,long_short,p,n,0.03,0.025,binance_01
34,OGN,long,p,m,0.03,0,binance_01
35,MTL,long,p,m,0.03,0,binance_01
36,LIT,long,p,m,0.03,0,binance_01
37,RVN,long,p,m,0.03,0,binance_01
38,MKR,long_short,p,n,0.03,0.025,binance_01
39,OCEAN,long,p,m,0.03,0,binance_01
40,ZIL,long,p,m,0.03,0,binance_01
41,UNFI,long,p,m,0.03,0,binance_01
42,BAND,long,p,m,0.03,0,binance_01
43,KNC,long_short,p,n,0.03,0.025,binance_01
44,STMX,long,p,m,0.03,0,binance_01
45,TOMO,long_short,p,n,0.03,0.025,binance_01
46,TRB,long,p,m,0.03,0,binance_01
47,AKRO,long,p,m,0.03,0,binance_01
48,SC,long,p,m,0.035,0,binance_01
49,ZRX,long,p,m,0.03,0,binance_01
50,BTS,long_short,p,n,0.03,0.025,binance_01
51,DGB,long,p,m,0.03,0,binance_01
52,FLM,long,p,m,0.03,0,binance_01
53,TLM,long,p,m,0.03,0,binance_01
54,GTC,long,p,m,0.03,0,binance_01
55,BAKE,long,p,m,0.03,0,binance_01
56,AR,long,p,m,0.03,0,binance_01
57,C98,long_short,p,n,0.03,0.025,binance_01
58,ETC,long_short,p,n,0.03,0.025,binance_01
59,WAVES,long,p,m,0.03,0,binance_01
60,DOT,long,p,m,0.03,0,binance_01
61,1000SHIB,long,p,m,0.03,0,binance_01
62,BNB,long,p,m,0.03,0,binance_01
63,ZEC,long,p,m,0.03,0,binance_01
64,API3,long_short,p,n,0.03,0.025,binance_01
65,DUSK,long_short,p,n,0.03,0.025,binance_01
66,FLOW,long_short,p,n,0.03,0.025,binance_01
67,KLAY,long_short,p,n,0.03,0.025,binance_01
68,CHZ,long_short,p,n,0.03,0.025,binance_01
69,DOGE,long_short,p,n,0.03,0.025,binance_01
70,ROSE,long_short,p,n,0.03,0.025,binance_01
71,CRV,long_short,p,m,0.03,0,binance_01
72,COMP,long_short,p,n,0.03,0.025,binance_01
73,1000XEC,long_short,p,n,0.03,0.025,binance_01
74,SUSHI,long,p,m,0.03,0,binance_01
75,ICP,long,p,t,0.03,0,binance_01
76,1INCH,long,p,m,0.03,0,binance_01
77,ETH,long_short,p,gs,0.03,0.01,binance_01
78,ADA,long_short,p,n,0.03,0.025,binance_01
79,XMR,long_short,p,n,0.03,0.025,binance_01
80,MATIC,long_short,p,n,0.03,0.025,binance_01
81,LTC,long_short,p,n,0.03,0.025,binance_01
82,LINK,long_short,p,n,0.03,0.025,binance_01
83,GRT,long_short,p,n,0.03,0.025,binance_01
84,DYDX,long_short,p,n,0.03,0.025,binance_01
85,ANC,long_short,p,n,0.03,0.025,binance_01
86,BCH,long,p,m,0.03,0,binance_01
87,XTZ,long,p,m,0.03,0,binance_01
88,TRX,long_short,p,n,0.03,0.025,binance_01
89,THETA,long,p,m,0.03,0,binance_01
90,STOR,long,p,m,0.03,0,binance_01
91,EOS,long_short,p,m,0.03,0.02,binance_01
92,DASH,long,p,m,0.03,0,binance_01
93,CHR,long,p,m,0.03,0,binance_01
94,CELR,long,p,m,0.03,0,binance_01
95,RSR,long,p,m,0.03,0,binance_01
96,ENS,long_short,p,n,0.03,0.025,binance_01
97,BAT,long,p,m,0.03,0,binance_01
98,STORJ,long,p,m,0.03,0,binance_01
99,SAND,long,p,m,0.03,0,binance_01
100,FTM,long,p,m,0.03,0,binance_01
101,CVC,long,p,m,0.03,0,binance_01
102,CTK,long,p,m,0.03,0,binance_01
103,FTM,long,p,m,,,bybit_01
104,KNC,long_short,p,n,,,bybit_01
105,NEAR,long,p,m,,,bybit_01
106,SAND,long,p,m,,,bybit_01
107,SOL,long,p,m,,,bybit_01
